type,url,detail,origin,referer
request,https://uae.sharafdg.com/,https://uae.sharafdg.com/wp-content/plugins/alogolia-tracking/js/filter_tracking.js?ver=1.17,https://uae.sharafdg.com/,https://uae.sharafdg.com/
request,https://uae.sharafdg.com/,https://uae.sharafdg.com/wp-content/plugins/GA4/js/list_impression_track.js?ver=11.45,https://uae.sharafdg.com/,https://uae.sharafdg.com/
request,https://uae.sharafdg.com/,https://uae.sharafdg.com/wp-content/plugins/GA4/js/product_click.js?ver=11.45,https://uae.sharafdg.com/,https://uae.sharafdg.com/
request,https://uae.sharafdg.com/,https://uae.sharafdg.com/wp-content/plugins/alogolia-tracking/js/product_click_tracking.js?ver=2.42,https://uae.sharafdg.com/,https://uae.sharafdg.com/
request,https://uae.sharafdg.com/,https://uae.sharafdg.com/wp-content/plugins/alogolia-tracking/js/add_to_cart_tracking.js?ver=1.12,https://uae.sharafdg.com/,https://uae.sharafdg.com/
request,https://uae.sharafdg.com/,https://c.o-s.io/378020/tracker.js,https://uae.sharafdg.com/,https://uae.sharafdg.com/
request,https://uae.sharafdg.com/,https://s.sdgcdn.com/7/2025/06/fitness-trackers-at-sharafdg-at-best-price-1.png,https://uae.sharafdg.com/,https://uae.sharafdg.com/
request,https://uae.sharafdg.com/,https://t.o-s.io/appsflyer?res=1280x720&lang=en&client_id=378020&product_category=default&item_identifier=%3CITEM%20ID%3E&_ur=3414232&_ref=,https://uae.sharafdg.com/,https://uae.sharafdg.com/
request,https://uae.sharafdg.com/,https://web.snrbox.com/rtom-proxy/rtom/configs/getPublicConfigForContext?tracker=2EC5BB59-0C1E-CB22-8377-03093AA321E9,https://uae.sharafdg.com/,https://uae.sharafdg.com/
request,https://uae.sharafdg.com/,https://googleads.g.doubleclick.net/pagead/viewthroughconversion/981248182/?random=1753348514610&cv=11&fst=1753348514610&bg=ffffff&guid=ON&async=1&en=gtag.config&gtm=45be57m0v9100524123za200zd9100524123&gcd=13l3l3l3l1l1&dma=0&tag_exp=101509157~103116026~103200004~103233427~104684208~104684211~104948813&u_w=1280&u_h=720&url=https%3A%2F%2Fuae.sharafdg.com%2F&hn=www.googleadservices.com&frm=0&tiba=Online%20Shopping%20%7C%20Mobiles%2C%20Electronics%20%26%20Appliances%20%E2%80%93%20Sharaf%20DG%20UAE&npa=0&pscdl=noapi&auid=518359895.1753348515&uaa=arm&uab=64&uafvl=Not%253BA%253DBrand%3B99.0.0.0%7CHeadlessChrome%3B139.0.7258.5%7CChromium%3B139.0.7258.5&uamb=0&uam=&uap=Linux&uapv=6.10.14&uaw=0&fledge=1&data=event%3Dgtag.config&rfmt=3&fmt=4,https://uae.sharafdg.com/,https://uae.sharafdg.com/
request,https://uae.sharafdg.com/,https://td.doubleclick.net/td/rul/981248182?random=1753348514610&cv=11&fst=1753348514610&fmt=3&bg=ffffff&guid=ON&async=1&en=gtag.config&gtm=45be57m0v9100524123za200zd9100524123&gcd=13l3l3l3l1l1&dma=0&tag_exp=101509157~103116026~103200004~103233427~104684208~104684211~104948813&u_w=1280&u_h=720&url=https%3A%2F%2Fuae.sharafdg.com%2F&hn=www.googleadservices.com&frm=0&tiba=Online%20Shopping%20%7C%20Mobiles%2C%20Electronics%20%26%20Appliances%20%E2%80%93%20Sharaf%20DG%20UAE&npa=0&pscdl=noapi&auid=518359895.1753348515&uaa=arm&uab=64&uafvl=Not%253BA%253DBrand%3B99.0.0.0%7CHeadlessChrome%3B139.0.7258.5%7CChromium%3B139.0.7258.5&uamb=0&uam=&uap=Linux&uapv=6.10.14&uaw=0&fledge=1&data=event%3Dgtag.config,,https://uae.sharafdg.com/
request,https://uae.sharafdg.com/,https://td.doubleclick.net/td/rul/981248182?random=1753348514653&cv=11&fst=1753348514653&fmt=3&bg=ffffff&guid=ON&async=1&en=page_view&gcl_ctr=1&gtm=45be57m0v9100524123za200zd9100524123&gcd=13l3l3l3l1l1&dma=0&tag_exp=101509157~103116026~103200004~103233427~103308613~104684208~104684211~104948813&u_w=1280&u_h=720&url=https%3A%2F%2Fuae.sharafdg.com%2F&hn=www.googleadservices.com&frm=0&tiba=Online%20Shopping%20%7C%20Mobiles%2C%20Electronics%20%26%20Appliances%20%E2%80%93%20Sharaf%20DG%20UAE&gtm_ee=1&npa=0&pscdl=noapi&auid=518359895.1753348515&uaa=arm&uab=64&uafvl=Not%253BA%253DBrand%3B99.0.0.0%7CHeadlessChrome%3B139.0.7258.5%7CChromium%3B139.0.7258.5&uamb=0&uam=&uap=Linux&uapv=6.10.14&uaw=0&label=KzyhCJL2668aELbR8tMD&ec_mode=a&fledge=1&capi=1&data=event%3Dgtag.config&em=tv.1&ct_cookie_present=0,,https://uae.sharafdg.com/
